name;user1_lat;user1_lon;user1_radios;user2_lat;user2_lon;user2_radios;user3_lat;user3_lon;user3_radios
office;54.7630981;9.4467032;30;52.5017409;13.4118194;40;54.7630981;9.4467032;30
home;54.7630981;9.4467032;30;52.470697;13.442552;40;54.7630981;9.4467032;30
